service_category,sub_category,action,system,system_desc,endpoint
Human Resources,Benefits/health,Remove family members,Health Benefits System(HBS),"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Human Resources,Benefits/health,Review coverage or enrollment,Health Benefits System(HBS),"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Human Resources,Benefits/health,Live online chat,Health Benefits System(HBS),"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Human Resources,Benefits/health,Live chat with a nurse or get medical advice,Health Benefits System(HBS),"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Human Resources,Benefits/health,Contact benefits specialist using phone,1-8X0-888-9999,"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Human Resources,Benefits/health,Upload verification forms,,"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Human Resources,Benefits/health,Call medical line 24x7,1-8X0-999-9999,"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Human Resources,Benefits/health,Request a call back,Health Benefits System(HBS),"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Human Resources,Benefits/health,Enroll in Dental plan,Health Benefits System(HBS),"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Human Resources,Benefits/health,Enroll in vision plan,Health Benefits System(HBS),"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Human Resources,Benefits/health,Employee assistance program,Health Benefits System(HBS),"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Human Resources,Benefits/spending accounts,Health Saving Account(HSA),Health Benefits System(HBS),"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Human Resources,Benefits/spending accounts,Health Care Flexible Spending Account(HCFSA),Health Benefits System(HBS),"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Human Resources,Benefits/spending accounts,Dependent Care Flexible Spending Account(DCFSA),Health Benefits System(HBS),"Manage health, dental and vision benefits, add, remove family members, contact specialists, employee assistance plan.",https://hbs.example.com
Financial,Financial Benefits,Enroll 401(k) plan,FinancialSystem(FS),Manage 401K plan,https://fs.example.com
Financial,Financial Benefits,Review 401(k) plan,FinancialSystem(FS),Manage 401K plan,https://fs.example.com
Financial,Insurance Benefits,Enroll Critical Illness insurance,Insurance Benefits Sytsem(IBS),Manage health insurance plans,https://ibs.example.com
Financial,Insurance Benefits,Enroll Personal Accident Insurance,Insurance Benefits Sytsem(IBS),Manage health insurance plans,https://ibs.example.com
Financial,Corporate Credit Card,Request a Corporate Card,Credit Card Management System (CCMS),Manage corporate credit card,https://ccms.example.com
Financial,Corporate Credit Card,Manage Corporate Card,Credit Card Management System (CCMS),Manage corporate credit card,https://ccms.example.com
Financial,Corporate Credit Card,Reconcile Spending,Credit Card Management System (CCMS),Manage corporate credit card,https://ccms.example.com
Financial,Corporate Credit Card,Take Training,Credit Card Management System (CCMS),Manage corporate credit card,https://ccms.example.com
Financial,Corporate Credit Card,Reconcile my Corporate Card,Credit Card Management System (CCMS),Manage corporate credit card,https://ccms.example.com
Financial,Corporate Credit Card/Expense Policy,Review Policy,Credit Card Management System (CCMS),Manage corporate credit card,https://ccms.example.com
